dt,code,algo_a,algo_b,abs_diff
2025-01-03 14:30:00,127104.SZ,83259410890.806,83259410890.80606,6.103515625e-05
2025-01-03 14:30:00,118039.SH,30274470597.840004,30274470597.839943,6.103515625e-05
2025-01-03 14:30:00,123118.SZ,250017906735.99,250017906735.99005,6.103515625e-05
2025-01-03 14:30:00,123161.SZ,51091570724.642006,51091570724.641945,6.103515625e-05
2025-01-03 14:30:00,118041.SH,23218253434.98,23218253434.98006,6.103515625e-05
2025-01-03 14:30:00,123211.SZ,40795672410.84,40795672410.84006,6.103515625e-05
2025-01-03 14:30:00,123236.SZ,34830301906.880005,34830301906.879944,6.103515625e-05
2025-01-03 14:30:00,127043.SZ,38614946811.994,38614946811.99394,6.103515625e-05
2025-01-03 14:30:00,123246.SZ,147760808811.84998,147760808811.85004,6.103515625e-05
2025-01-03 14:30:00,110081.SH,151387484843.65,151387484843.64993,6.103515625e-05
2025-01-03 14:30:00,127089.SZ,22768041692.221,22768041692.220943,5.7220458984375e-05
2025-01-03 14:30:00,110073.SH,49964725820.08,49964725820.080055,5.340576171875e-05
2025-01-03 14:30:00,118049.SH,35127601109.86,35127601109.860054,5.340576171875e-05
2025-01-03 14:30:00,123157.SZ,31999447570.370003,31999447570.36995,5.340576171875e-05
2025-01-03 14:30:00,113534.SH,20877843787.93,20877843787.929947,5.340576171875e-05
2025-01-03 14:30:00,110077.SH,20384330659.64,20384330659.63995,4.9591064453125e-05
2025-01-03 14:30:00,113527.SH,19229162449.78,19229162449.77995,4.9591064453125e-05
2025-01-03 14:30:00,113067.SH,14392404305.730003,14392404305.730053,4.9591064453125e-05
2025-01-03 14:30:00,111019.SH,22596954700.59,22596954700.59005,4.9591064453125e-05
2025-01-03 14:30:00,113056.SH,78570751925.36,78570751925.36005,4.57763671875e-05
2025-01-03 14:30:00,123249.SZ,70243732238.889,70243732238.88896,4.57763671875e-05
2025-01-03 14:30:00,123240.SZ,26187370910.343998,26187370910.344044,4.57763671875e-05
2025-01-03 14:30:00,123127.SZ,40938634116.17,40938634116.170044,4.57763671875e-05
2025-01-03 14:30:00,110052.SH,35683115073.979996,35683115073.98004,4.57763671875e-05
2025-01-03 14:30:00,111008.SH,18187816242.17,18187816242.170044,4.57763671875e-05
2025-01-03 14:30:00,110096.SH,37381202106.729996,37381202106.73004,4.57763671875e-05
2025-01-03 14:30:00,113589.SH,95346158998.57999,95346158998.57994,4.57763671875e-05
2025-01-03 14:30:00,123145.SZ,23264531784.29,23264531784.290047,4.57763671875e-05
2025-01-03 14:30:00,123133.SZ,30100237438.78,30100237438.779953,4.57763671875e-05
2025-01-03 14:30:00,123146.SZ,25005525949.15,25005525949.150047,4.57763671875e-05
2025-01-03 14:30:00,113632.SH,44130706592.490005,44130706592.48996,4.57763671875e-05
