trade_date,code,score
2024-05-10,110044.SH,-0.07074577861252565
2024-05-10,110048.SH,-0.24489487159677553
2024-05-10,110052.SH,0.0562954764422213
2024-05-10,110055.SH,0.11296599398903873
2024-05-10,110058.SH,-0.020058765213967288
2024-05-10,110059.SH,-0.004498159424427082
2024-05-10,110060.SH,0.35220871816621774
2024-05-10,110062.SH,0.13878219577512999
2024-05-10,110067.SH,-0.20591695533587404
2024-05-10,110068.SH,-0.16412929523425757
2024-05-10,110070.SH,-0.19543900370055206
2024-05-10,110074.SH,0.5552751243521258
2024-05-10,110075.SH,-0.2909051987339402
2024-05-10,110076.SH,0.10040749480066043
2024-05-10,110077.SH,0.17352495734800683
2024-05-10,110079.SH,-0.02455719259375684
2024-05-10,110081.SH,-0.004513802623679675
2024-05-10,110082.SH,0.051467159834622224
2024-05-10,110083.SH,0.1603539904099748
2024-05-10,110084.SH,-0.0926173638872399
2024-05-10,110085.SH,0.025856451697806395
2024-05-10,110089.SH,-0.22937441807744854
2024-05-10,110090.SH,-0.0034982948120874727
2024-05-10,110091.SH,0.8238913145646045
2024-05-10,110092.SH,1.0099488578964424
2024-05-10,110093.SH,-0.15138449334312842
2024-05-10,110094.SH,-0.4143842379355432
2024-05-10,110095.SH,0.03336965073199061
2024-05-10,111000.SH,0.18228746304744917
2024-05-10,111001.SH,0.006064933278169302
2024-05-10,111002.SH,-0.13880814231318972
2024-05-10,111003.SH,-0.20806158060301136
2024-05-10,111004.SH,-0.07966304598343298
2024-05-10,111005.SH,0.44892866135906323
2024-05-10,111007.SH,-0.0796027228044471
2024-05-10,111008.SH,-0.24203985415261647
2024-05-10,111009.SH,0.03711579748136413
2024-05-10,111011.SH,0.03901974808807218
2024-05-10,111012.SH,-0.4114057355085134
2024-05-10,111013.SH,-0.06661336364258452
2024-05-10,111014.SH,-0.21782597380855293
2024-05-10,111016.SH,0.001285455387034895
2024-05-10,111017.SH,-0.4464189126510012
2024-05-10,111018.SH,-0.3142638642749148
2024-05-10,113021.SH,0.047301166005946534
2024-05-10,113024.SH,-0.20472981844750326
2024-05-10,113027.SH,0.3966612486500365
2024-05-10,113030.SH,0.035568624580712735
2024-05-10,113033.SH,-0.16280469553859048
2024-05-10,113037.SH,-0.05908200786363155
2024-05-10,113039.SH,-0.3618854590942293
2024-05-10,113042.SH,-0.014310384017950956
2024-05-10,113043.SH,0.010654137265170106
2024-05-10,113044.SH,-0.18983298088814377
2024-05-10,113045.SH,0.23568638881327889
2024-05-10,113046.SH,-0.09112429372225028
2024-05-10,113047.SH,-0.07468087420423233
2024-05-10,113049.SH,0.16490663797121977
2024-05-10,113050.SH,-0.22962033504528334
2024-05-10,113051.SH,0.005652182055404541
2024-05-10,113052.SH,-0.17317563283756338
2024-05-10,113053.SH,-0.006784745366107479
2024-05-10,113054.SH,-0.1980568850520352
2024-05-10,113055.SH,-0.22729265803260398
2024-05-10,113058.SH,-0.0686085096484216
2024-05-10,113059.SH,0.3432207986558127
2024-05-10,113060.SH,-0.2739377000479124
2024-05-10,113061.SH,0.0818981751359474
2024-05-10,113062.SH,-0.16312597147840804
2024-05-10,113064.SH,0.06769906782175186
2024-05-10,113065.SH,-0.14443599042874486
2024-05-10,113066.SH,-0.055625930121590485
2024-05-10,113067.SH,-0.3587859116084782
2024-05-10,113068.SH,-0.5122322412043818
2024-05-10,113069.SH,0.062231880021289834
2024-05-10,113516.SH,-0.3774727948671487
2024-05-10,113524.SH,-0.14328690802198266
2024-05-10,113527.SH,0.18927682974072055
2024-05-10,113530.SH,-0.18697708928489598
2024-05-10,113534.SH,-0.051010518151802416
2024-05-10,113537.SH,0.7274339282686136
2024-05-10,113542.SH,-0.08976317507267115
2024-05-10,113545.SH,-0.15285015118684964
2024-05-10,113546.SH,0.5562507531290938
2024-05-10,113563.SH,0.216777613060993
2024-05-10,113565.SH,-0.16916006870800393
2024-05-10,113569.SH,-0.08236394065062921
2024-05-10,113573.SH,0.002302172558333394
2024-05-10,113574.SH,0.09617538530777744
2024-05-10,113577.SH,0.21011709290291292
2024-05-10,113579.SH,-0.0978814094069391
2024-05-10,113582.SH,0.3280590094383571
2024-05-10,113584.SH,-0.022151762228709706
2024-05-10,113588.SH,-0.16560103829899786
2024-05-10,113593.SH,-0.12583993395821952
2024-05-10,113596.SH,-0.03722093634252713
2024-05-10,113597.SH,0.020219967613379214
2024-05-10,113598.SH,0.028346016649356317
2024-05-10,113600.SH,0.21287357792657538
2024-05-10,113601.SH,-0.11679872822842349
2024-05-10,113602.SH,0.2774624643352633
2024-05-10,113605.SH,-0.03652401551437246
2024-05-10,113608.SH,0.14394983606260364
2024-05-10,113609.SH,0.049497318182686864
2024-05-10,113610.SH,0.23911630817816282
2024-05-10,113615.SH,-0.9436629510026933
2024-05-10,113616.SH,-0.06850150501195205
2024-05-10,113618.SH,0.002553909810957388
2024-05-10,113619.SH,0.255029731500115
2024-05-10,113623.SH,-0.1785932496658681
2024-05-10,113624.SH,-0.12854462669068334
2024-05-10,113627.SH,-0.015295380293775092
2024-05-10,113628.SH,-0.05520806964143209
2024-05-10,113629.SH,0.7340003082732279
2024-05-10,113631.SH,-0.19838575987432314
2024-05-10,113632.SH,-0.17666861267102027
2024-05-10,113633.SH,0.05005368045936366
2024-05-10,113634.SH,0.1712278249374188
2024-05-10,113637.SH,0.16280489244666618
2024-05-10,113638.SH,0.06647761941511908
2024-05-10,113639.SH,0.40867832806744064
2024-05-10,113641.SH,-0.4845500657690905
2024-05-10,113644.SH,0.11000875828392302
2024-05-10,113646.SH,0.08205204489153588
2024-05-10,113647.SH,0.44586976562552133
2024-05-10,113648.SH,-0.15321684879927938
2024-05-10,113649.SH,-0.4223362543126942
2024-05-10,113651.SH,-0.0095767821907205
2024-05-10,113652.SH,-0.3122876089382608
2024-05-10,113654.SH,0.2978275893496464
2024-05-10,113655.SH,0.12070510456599502
2024-05-10,113656.SH,-0.027979300745583267
2024-05-10,113658.SH,0.5049404354957898
2024-05-10,113660.SH,-0.04411540917917643
2024-05-10,113662.SH,-0.02320220961350718
2024-05-10,113664.SH,-0.12043120521673424
2024-05-10,113665.SH,0.09803693450853933
2024-05-10,113666.SH,0.040901368168386236
2024-05-10,113667.SH,0.024206402205466784
2024-05-10,113668.SH,-0.09633523797210852
2024-05-10,113669.SH,0.3374367705958416
2024-05-10,113670.SH,0.06715012413461205
2024-05-10,113671.SH,-0.3121161226358279
2024-05-10,113672.SH,-0.3108217672840021
2024-05-10,113673.SH,-0.004776386888551986
2024-05-10,113674.SH,-0.2312503872996417
2024-05-10,113675.SH,-0.03953042142694768
2024-05-10,113677.SH,0.3693598865642034
2024-05-10,113678.SH,-0.3982749673036249
2024-05-10,113680.SH,-0.7063801079553353
2024-05-10,113681.SH,0.11839805240098411
2024-05-10,118000.SH,-0.43137746924434356
2024-05-10,118003.SH,0.09635472850420324
2024-05-10,118004.SH,0.4926430956182427
2024-05-10,118005.SH,-0.10514151313927264
2024-05-10,118006.SH,-0.05524516648641899
2024-05-10,118007.SH,0.02837796875052684
2024-05-10,118008.SH,-0.0013229733835191243
2024-05-10,118009.SH,-0.41290904103745335
2024-05-10,118010.SH,0.05574403937322842
2024-05-10,118012.SH,0.4547591926020469
2024-05-10,118013.SH,-0.012928566673572114
2024-05-10,118015.SH,-0.14021105977697312
2024-05-10,118016.SH,0.051824544527200686
2024-05-10,118018.SH,0.08485904178090332
2024-05-10,118019.SH,-0.11324412583838768
2024-05-10,118020.SH,-0.06232426260217224
2024-05-10,118021.SH,0.273343849773599
2024-05-10,118022.SH,-0.11444807282393765
2024-05-10,118023.SH,0.17861654906814223
2024-05-10,118024.SH,-0.06880664116693225
2024-05-10,118025.SH,0.42759304532764303
2024-05-10,118026.SH,-0.08489508039632622
2024-05-10,118027.SH,-0.0930594697772804
2024-05-10,118028.SH,0.28576110042874264
2024-05-10,118029.SH,-0.012083651231992627
2024-05-10,118030.SH,0.02651562733890015
2024-05-10,118031.SH,0.17843043311890286
2024-05-10,118033.SH,0.1415839360443134
2024-05-10,118035.SH,-0.19481585431674714
2024-05-10,118036.SH,0.17623180359689808
2024-05-10,118037.SH,-0.5066707011494445
2024-05-10,118039.SH,-0.21647060568518095
2024-05-10,118040.SH,-0.2780674096884251
2024-05-10,118042.SH,-0.26421602839238795
2024-05-10,118043.SH,0.1640797103921037
2024-05-10,118044.SH,-0.31069313100516466
2024-05-10,118045.SH,-0.33150227968508883
2024-05-10,118046.SH,-0.5468406975088331
2024-05-10,123010.SZ,-0.3813747634343435
2024-05-10,123011.SZ,-0.05400733278662852
2024-05-10,123012.SZ,-0.6219634782348904
2024-05-10,123013.SZ,0.5252803862474095
2024-05-10,123018.SZ,-0.5409748499873379
2024-05-10,123025.SZ,0.0401339574549473
2024-05-10,123031.SZ,-0.8526205483125515
2024-05-10,123034.SZ,0.509022961733866
2024-05-10,123038.SZ,-0.16288951259387677
2024-05-10,123039.SZ,0.08800161678316376
2024-05-10,123044.SZ,0.012067989436260971
2024-05-10,123048.SZ,0.0013480891288636452
2024-05-10,123049.SZ,-0.2852250495998711
2024-05-10,123050.SZ,0.2684614372611649
2024-05-10,123052.SZ,-0.13603807782753946
2024-05-10,123054.SZ,0.07406162169376708
2024-05-10,123056.SZ,-0.2049052315851463
2024-05-10,123059.SZ,0.07998700903064526
2024-05-10,123061.SZ,-0.4112742261385207
2024-05-10,123064.SZ,0.03849591970899599
2024-05-10,123065.SZ,-0.254805734140531
2024-05-10,123067.SZ,-0.02491501349868483
2024-05-10,123072.SZ,-0.029827556495120373
2024-05-10,123076.SZ,0.16754277096113523
2024-05-10,123078.SZ,0.21508631057930946
2024-05-10,123080.SZ,0.0418109719023892
2024-05-10,123082.SZ,0.07827255382447423
2024-05-10,123085.SZ,0.24351603738190822
2024-05-10,123087.SZ,0.20299399528174322
2024-05-10,123088.SZ,0.34863856026297646
2024-05-10,123089.SZ,-0.3053964797056287
2024-05-10,123090.SZ,0.24546729013256707
2024-05-10,123092.SZ,0.007646316786245104
2024-05-10,123093.SZ,0.06592609776558178
2024-05-10,123096.SZ,-0.2498929326178199
2024-05-10,123101.SZ,0.010075264016079721
2024-05-10,123104.SZ,0.12855194830462094
2024-05-10,123107.SZ,-0.13002089986771503
2024-05-10,123108.SZ,-0.0880235395421461
2024-05-10,123112.SZ,0.36851817290213523
2024-05-10,123113.SZ,0.013362196004151616
2024-05-10,123114.SZ,-0.49620768755947786
